year,mean_winter_temp
1950,7.642962962962962
1951,9.632467793880837
1952,14.560302197802194
1953,17.038888888888895
1954,6.0579106280193225
1955,14.590136876006442
1956,5.490086000955567
1957,11.41759259259259
1958,19.901388888888896
1959,17.351851851851855
1960,23.703365475104608
1961,13.290845410628027
1962,16.045853462157808
1963,23.665277777777774
1964,11.73580586080586
1965,10.180555555555555
1966,11.791666666666666
1967,11.194444444444445
1968,9.70934065934066
1969,14.041666666666666
1973,6.843828844857964
1974,10.105652106655937
1975,5.37875195979544
1976,14.91355835938782
1977,21.18856280193237
1978,20.675032368008033
1979,11.816316067397308
1980,11.779614560188275
1981,23.475723504890155
1982,16.62612633074438
1983,19.72983414197182
1984,17.013567102442266
1985,23.722368509107643
1986,24.366900858132734
1987,21.618510404616437
1988,21.82487832718544
1989,12.847844356773594
1990,9.910000686488445
1991,18.610373394184986
1992,16.192046201908155
1993,20.366103505994808
1994,17.7428705489467
1995,18.764320902604624
1996,8.309949685695026
1997,19.875723230904484
1998,17.351546763159522
1999,8.819756585603956
2000,20.45861593799944
2001,19.419128103407427
2002,24.076482257883487
2003,23.929353086361353
2004,17.64454909432034
2005,22.13924266662355
2006,18.620391043286755
2007,18.302200312706468
2008,13.549264227596565
2009,16.90938170158962
2010,20.315191096892843
2011,19.49612263972977
2012,11.306070208611212
2013,19.965202894994803
2014,26.714363312182453
2015,22.36120186660178
2016,24.77972459267608
2017,17.520558175429777
2018,20.891987102854863
2019,20.5530746572266
